Species,season,treatment,photosynthesis,transpiration
T.grandis,summer,Polluted,5.14,0.0405
T.grandis,summer,Polluted,5.14,0.0405
T.grandis,summer,Polluted,5.29,0.0489
T. paniculata,summer,Polluted,3.39,0.031
T. paniculata,summer,Polluted,4.06,0.0322
T. paniculata,summer,Polluted,3.77,0.0282
G.tiliifolia,summer,Polluted,3.74,0.0445
G.tiliifolia,summer,Polluted,3.92,0.0322
G.tiliifolia,summer,Polluted,4.41,0.0497
S. robusta,summer,Polluted,3.46,0.0302
S. robusta,summer,Polluted,3.18,0.0317
S. robusta,summer,Polluted,3.44,0.0432
P.marsupium,summer,Polluted,4.11,0.0188
P.marsupium,summer,Polluted,4.39,0.0587
P.marsupium,summer,Polluted,3.68,0.0562
M.latifolia,summer,Polluted,4.15,0.0215
M.latifolia,summer,Polluted,4.31,0.0743
M.latifolia,summer,Polluted,4.34,0.0619
T.grandis,summer,Control,5.99,0.416
T.grandis,summer,Control,6.73,0.215
T.grandis,summer,Control,8.23,0.318
T. paniculata,summer,Control,8.4,0.753
T. paniculata,summer,Control,7.46,0.343
T. paniculata,summer,Control,9.2,0.457
G.tiliifolia,summer,Control,9.45,0.534
G.tiliifolia,summer,Control,5.7,0.0755
G.tiliifolia,summer,Control,4.81,0.114
S. robusta,summer,Control,7.62,0.245
S. robusta,summer,Control,7.76,0.485
S. robusta,summer,Control,6,0.235
P.marsupium,summer,Control,7.93,0.209
P.marsupium,summer,Control,8.54,0.205
P.marsupium,summer,Control,11.4,0.353
M.latifolia,summer,Control,19.1,0.0295
M.latifolia,summer,Control,9.34,0.0582
M.latifolia,summer,Control,10.8,0.452
T.grandis,monsoon,Polluted,3.63,7.91
T.grandis,monsoon,Polluted,8.63,3.1
T.grandis,monsoon,Polluted,2.17,6.14
T. paniculata,monsoon,Polluted,3.45,4.88
T. paniculata,monsoon,Polluted,4.47,5.47
T. paniculata,monsoon,Polluted,3.56,4.85
G.tiliifolia,monsoon,Polluted,3.56,2.31
G.tiliifolia,monsoon,Polluted,3.09,10.9
G.tiliifolia,monsoon,Polluted,3.72,5.64
S. robusta,monsoon,Polluted,1.31,6.1
S. robusta,monsoon,Polluted,1.3,5.67
S. robusta,monsoon,Polluted,3.84,4.76
P.marsupium,monsoon,Polluted,3.36,7.32
P.marsupium,monsoon,Polluted,2.84,5.3
P.marsupium,monsoon,Polluted,2.87,4.45
M.latifolia,monsoon,Polluted,3.11,2.81
M.latifolia,monsoon,Polluted,8.16,3.27
M.latifolia,monsoon,Polluted,3.5,3.87
T.grandis,monsoon,Control,7.97,0.414
T.grandis,monsoon,Control,8.79,0.642
T.grandis,monsoon,Control,8.87,0.646
T. paniculata,monsoon,Control,17.1,0.561
T. paniculata,monsoon,Control,7.93,0.369
T. paniculata,monsoon,Control,9.58,0.441
G.tiliifolia,monsoon,Control,7.36,0.43
G.tiliifolia,monsoon,Control,4.75,0.398
G.tiliifolia,monsoon,Control,12.7,0.405
S. robusta,monsoon,Control,4.74,0.447
S. robusta,monsoon,Control,7.13,0.227
S. robusta,monsoon,Control,2.09,0.358
P.marsupium,monsoon,Control,5.23,0.497
P.marsupium,monsoon,Control,5.07,0.49
P.marsupium,monsoon,Control,7.92,0.633
M.latifolia,monsoon,Control,5.08,0.231
M.latifolia,monsoon,Control,6.32,0.122
M.latifolia,monsoon,Control,3.17,0.389
